Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA
2015-01-20,2.24000001,110.7969742,124.1999969,28.71054268,19.48000526,0.48050341,12.79533291,2.430000067,112.2412127,124.5999985,28.90900088,20.916537,0.485063588,12.94133282,2.190000057,109.6094946,123.4899979,28.44592964,19.41686106,0.474503095,12.4693327,2.390000105,111.5993276,123.6299973,28.90900088,20.916537,0.482423479,12.92466736,56713300,1761500,14968600,212900,6382000,140308000,67548000
2015-01-21,2.450000048,111.438858,124.2300034,28.83457947,20.10355949,0.487223715,13.10466671,2.450000048,111.7999146,125.3399963,29.43822818,20.19038336,0.4884238,13.24533272,2.140000105,110.5723149,123.3700027,28.47073732,19.39318665,0.474503102,12.63399982,2.180000067,110.9734916,125.1800003,28.74361814,19.70101453,0.477863279,12.63666725,46530800,1197900,11082700,353000,8804100,144780000,62295000
2015-01-22,2.470000029,113.3003082,125.2300034,30.07494354,19.80361938,0.495624036,13.44133282,2.5,113.5811245,125.5800018,30.18244354,20.22984237,0.497064115,13.54933262,2.369999886,111.0938368,124.1500015,28.92553044,19.51157651,0.48314342,13.01333332,2.420000076,111.864089,125.0699997,29.00822396,20.12723361,0.488183642,13.13333321,36169600,1311200,10518400,218000,4536300,159712000,61753500
2015-01-23,2.450000048,113.3885956,124.2300034,30.03360558,19.76415253,0.497064084,13.41933346,2.5,114.2631579,124.5,30.24860562,19.96937003,0.498024118,13.5666666,2.430000067,112.5942613,123.3499985,29.70283773,19.73257968,0.492023805,13.22200012,2.480000019,113.2602161,124.4300003,29.98398945,19.85097485,0.496103992,13.35266685,11107200,895600,6270900,170500,3082100,120416000,51579000
2015-01-26,2.609999895,112.3776169,122.9899979,30.34783173,20.15880775,0.494904011,13.77000046,2.640000105,113.2361409,123.3399963,30.3560995,20.16669946,0.497304126,13.90799999,2.440000057,111.9363201,122.5199966,29.76072185,19.62997446,0.491783857,13.40333271,2.440000057,113.2361409,123.3300018,29.91783483,19.67733224,0.494904011,13.45533276,36571300,1223300,6768600,162700,2051300,133240000,48517500
2015-01-27,2.700000048,110.0828781,124.4000015,30.01708031,20.00094795,0.471142977,13.73200035,2.839999914,111.3265283,124.6399994,30.33130959,20.20616701,0.487703786,13.86866665,2.559999943,109.96253,123.5100021,29.79381238,19.9141241,0.470182914,13.55333328,2.579999924,110.9895413,123.5599976,29.90131246,20.08777181,0.48722374,13.62800026,51805800,1590100,9584800,157400,2478700,357948000,41715000
2015-01-28,2.630000114,109.4409637,123.4199982,29.97572899,19.42475128,0.463462472,13.2913332,2.75,113.8699565,123.8899994,30.59591648,20.18248159,0.478823219,13.75800037,2.599999905,109.2243372,122.9400024,29.57053844,19.40896486,0.463222449,13.22799969,2.710000038,111.5270868,123.5199966,30.21553558,20.02462186,0.476903122,13.74066734,24786200,2764700,8470600,264000,3536200,272728000,47244000
2015-01-29,2.609999895,107.9004669,120.7600021,29.71938133,19.39696693,0.474743128,13.68000031,2.690000057,109.7940212,122.2900009,29.98399439,19.48430538,0.477383237,13.73200035,2.50999999,106.7450762,120.2600021,29.18188744,18.86499931,0.461542469,13.10000038,2.630000114,109.3768063,121.9899979,29.98399439,19.46048539,0.463702589,13.4046669,17790200,3133200,11998000,320100,6014600,235340000,53221500
2015-01-30,2.569999933,106.8815155,123.4499969,28.73534775,19.5795784,0.460822403,13.57333279,2.599999905,108.4059823,123.5500031,29.81860947,20.05596747,0.476903193,13.83133316,2.50999999,106.416149,120.9199982,28.66919292,19.15876777,0.460102392,13.53333282,2.559999943,106.5766173,121.3000031,29.4382255,19.21434773,0.471382924,13.59733295,12908200,3479800,14555900,265800,5081100,298200000,45105000
2015-02-02,2.670000076,109.2163391,122.4199982,29.42169189,20.02420616,0.47090289,14.06266689,2.75,109.5132182,123.1600037,29.42995967,20.14330456,0.472822987,14.13000011,2.650000095,106.3118238,121.8199997,28.37977529,19.32550334,0.454582107,13.55333328,2.690000057,107.4270945,121.8399963,28.75188836,19.61133707,0.463702547,13.59799957,25688700,2031000,8885200,244000,4732700,259604000,62238000
